id,question
1,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have sufficient time for your personal or home life. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
2,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have a boss (direct superior) you can respect. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
3,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to get recognition for good performance. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
4,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have security of employment. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
5,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have pleasant people to work with. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
6,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to do work that is interesting. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
7,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to be consulted by your boss in decisions involving your work. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
8,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to live in a desirable area. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
9,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have a job respected by your family and friends. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
10,"This question is about job preferences. Please think of an ideal job, disregarding your present job, if you have one. In choosing an ideal job, how important would it be to you to have chances for promotion. Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
11,"In your private life, how important is keeping time free for fun to you: Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
12,"In your private life, how important is moderation: having few desires to you: Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
13,"In your private life, how important is doing a service to a friend to you: Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
14,"In your private life, how important is thrift (not spending more than needed) to you: Answer with only a number where: 1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no importance"
15,"How often do you feel nervous or tense? Answer with only a number where: 1 = always, 2 = usually, 3 = sometimes, 4 = seldom, 5 = never"
16,"Are you a happy person? Answer with only a number where: 1 = always, 2 = usually, 3 = sometimes, 4 = seldom, 5 = never"
17,"Do other people or circumstances ever prevent you from doing what you really want to? Answer with only a number where: 1 = yes, always, 2 = yes, usually, 3 = sometimes, 4 = no, seldom, 5 = no, never"
18,"All in all, how would you describe your state of health these days? Answer with only a number where: 1 = very good, 2 = good, 3 = fair, 4 = poor, 5 = very poor"
19,"How proud are you to be a citizen of your country? Answer with only a number where: 1 = very proud, 2 = fairly proud, 3 = somewhat proud, 4 = not very proud, 5 = not proud at all"
20,"How often, in your experience, are subordinates afraid to contradict their boss (or students their teacher)? Answer with only a number where: 1 = never, 2 = seldom, 3 = sometimes, 4 = usually, 5 = always"
21,"To what extent do you agree or disagree with: One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work? Answer with only a number where: 1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
22,"To what extent do you agree or disagree with: Persistent efforts are the surest way to results? Answer with only a number where: 1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
23,"To what extent do you agree or disagree with: An organization structure in which certain subordinates have two bosses should be avoided at all cost? Answer with only a number where: 1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
24,"To what extent do you agree or disagree with: A company's or organization's rules should not be broken - not even when the employee thinks breaking the rule would be in the organization's best interest? Answer with only a number where: 1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
