ID,response_text
example_0,That's good to hear_comma_ thankfully everyone walked away from that incident!
example_1,Yeah he got charged with DUI and i have been doing better over time. It is a little hard to deal with sometimes but it has gotten better since i started therapy and everything
example_2,it's normal to feel lonely after a long relationship
example_3,Nice!  Did you enjoy it?
example_4,That's horrible.  Babies are so delicate and need such care right away. I'm so sorry you read that article!
example_5,Oh that is very sweet! I love children_comma_ but they are a handful sometimes! lol!
example_6,You are welcome_comma_ best of luck to him.
example_7,Good for you_comma_ it is always better to have one in the house
example_8,You must be really excited then! Where are you going too?
example_9,I am glad you got him back.
example_10,What were you going to buy?
example_11,That is horrible that you can't even go to your friend for help with rent but still you won't get them in trouble? It sounds like they need a lot of help.
example_12,How old is your baby? I have a 4 week old baby girl at home now.  It's so nice to see what peacefulness looks like too.
example_13,Ah_comma_ well maybe you'll find someone special in the process.
example_14,what did you do?
example_15,Oh no_comma_ that's awful. I hate the thought of having something crawling on me. That would be terrifying for sure.
example_16,Don't worry! There are plenty of fish in the sea! Good things come to those who wait
example_17,I can't wait until I have kids! They sound wonderful.
example_18,That is true.  How did you deal with it?
example_19,Oh that is horrible_comma_ i am glad you are grateful for your own family!
example_20,Yes_comma_ sometimes things just feel right
example_21,That sounds like such a fun party! Did you eat cake?
example_22,I can imagine. They should know how you feel better though. You shouldn't be alone just because of their relationship problems.
example_23,Wow that sounds like my first baby and second baby too! What are their ages now?
example_24,Oh no! You should have called first. That would have saved you so much trouble
example_25,I bet he taught you some valuable lessons then!
example_26,She kept us apart till we were old enough. It was hard but it worked out pretty well!
example_27,That's sad_comma_ did you do anything to make it up to her?
example_28,I think I try to keep my head in the sand and pretend he doesn't exist as much as possible lol.  It's a tough place to be but it's what we have to put up with until our time is over.
example_29,That's still pretty regular. Sounds like it is nice to have a friend who lives nearby so you can see them and their little one regularly!
example_30,It sounds like you had an amazing time!  I bet it felt like you were floating across the canal.
example_31,Oh wow_comma_ that's rough. I hope it works out for you!
example_32,I've just been thinking a lot about mindfulness lately and how it helps me not react as much.  That's what I've tried to do when I get angry or upset...and you know? It works!
example_33,That is nice of you.  My brother's cat got hit by a car when he was younger too.
example_34,That is awesome_comma_ they have a great theme park for kids_comma_ that is definitely one of my favorite places to visit
example_35,Thats awesome!  Im glad you got to reconnect with him though.
example_36,That's what my sister said too_comma_ she got this huge storage unit so I'm hoping it will help!
example_37,I think that is an old school problem. Most people have smart phones now and can be reached at any time.
example_38,"Well, I hope things work out between the two of you!"
example_39,That sounds like an amazing experience. So many people would be very jealous of your lifestyle. You are lucky and grateful for it.
example_40,Yeah_comma_ definitely. I learned so much from it and am doing better now! Thank you for listening!
example_41,I'm sorry it worked out badly. It's a hard thing to deal with at times but we grow through those things together in marriage.
example_42,I am so sorry she said what she did. At least she apologized afterwards.
example_43,That is very true. What do you like to do to keep healthy?
example_44,Yes! And they are both grown with children of their own.
example_45,You will get there eventually_comma_ just keep going!
example_46,I know what you mean.  Having some sort of job is better than nothing!
example_47,That's awful! Sorry to hear that.. did you get upset or angry?
example_48,I will have to come down there one day!!
example_49,That would be so annoying! Why did she not follow through on their plans?
example_50,Wow that is very scary. Hopefully you and your mom are ok.
example_51,Oh no! That is so scary!
example_52,Oh no_comma_ how did you feel? Did it take effect on your judgment at all?
example_53,Oh no! I hope you got some refund.
example_54,Oh no that is awful. Are you okay?
example_55,What a wonderful man to do such thing. I am glad you are in a good relationship.
example_56,I'm glad to hear that!  You sound confident and prepared. That's all anyone can do when interviewing.  Good luck with your interview.
example_57,I could imagine that would give you a heart attack. That is crazy.
example_58,Did your friend believe it when you told her?
example_59,You can be sure I will not take my refrigerator for granted from now on.  That sounds so frustrating
example_60,She should know that you are a good friend! what did you do?
example_61,You should be proud of yourself for being able to look back and laugh about it. It's not easy to do that with something so embarrassing happening in front of your mom.
example_62,I've never been to Florida. I should have when I was younger. Sounds like a great time!
example_63,Yes_comma_ I remember those days. It is a good time.
example_64,Lol! That's a good idea.
example_65,How far along are you in your pregnancy?
example_66,Nope_comma_ but it sounds really interesting. Sounds like a lot of fun. What kind of things do you visually record?
example_67,Yes indeed_comma_ you can tell when a leader is good or bad by the company they keep
example_68,We used to play with Toy Story all the time. I loved Woody.
example_69,That means so much more than any gift that comes from the heart is always appreciated!!
example_70,I'll try. I'm just going to have to get back out there and apply again.
example_71,I am sure she had some hard times before that moment.  Now is an exciting time for her!
example_72,Sounds interesting!  Maybe someday I'll have to check it out.
example_73,That is great news! What did you do after?
example_74,Did you end up late for somewhere?
example_75,That sounds so scary!
example_76,She is very lucky to have you as her best friend! It's good to have people in our lives who can motivate us to be the best we can be.
example_77,Oh dear_comma_ well you might want to make sure that your pot has holes in it for air. Also make sure you water wisely so as not to drown it!
example_78,That is awesome. What kind did you choose?
example_79,Good luck with everything!
example_80,That is so stressful
example_81,Good for you! What kind of degree are you working towards?
example_82,Maybe I will.  If the poop keeps up there for too long it's going to get everywhere_comma_ so maybe I should have a word.
example_83,That sounds like a lot of fun!
example_84,What kind of stuff were your favorites?
example_85,I was born in 1986. My mom had to get me a computer when i was like 10 so yeah my entire life I've been on internet based stuff
example_86,Yes_comma_ but it also kept me safe from any mean kids since they can be really cruel.
example_87,There were kids waiting outside the theater at midnight! I wouldn't have been able to survive if I had been one of them.
example_88,You should talk to them about this and let them know how you feel. It may help.
example_89,LOL! We don't even use Popsicles anymore because of the ant problem.
example_90,I'm glad it did.
example_91,They really can. We could use more of it.
example_92,I think mine have been pretty random but always fun!
example_93,That is a good idea_comma_ I know it can be scary when your home goes out in the dark and raining hard!
example_94,Wow_comma_ that's great! What kind of course was it?
example_95,I can't stand cats_comma_ I have mice. They are so annoying.
example_96,Congratulations! I'm sure you are proud of him.
example_97,It's terrible to go through something like that! Thank god it is over now.
example_98,Wow!  I would love to try some of that!  What kind of coffee does it taste?
example_99,Well that is nice of her.  I'm sure your daughter will love it!
example_100,You're right.  Those were probably good times and I'm sure you'll have many more!
example_101,I'm so sorry to hear that.  Did you find his remains?
example_102,yea it feels like the worst
example_103,I'm glad to hear that. That's not good when you're vomiting and then the food is still in your system.
example_104,Did you hit him back with something in return?
example_105,That's great that you've got other pets to care for too.  They are good companions I know.  Have you thought about getting another one?
example_106,Just keep believing in yourself and your heart will guide you.
example_107,Well good luck to you! Don't be discouraged if it doesn't work out. There are plenty of other nice people out there.
example_108,lol! Yeah_comma_ my parents used to do that for me. What's your favorite brand of tequila?
example_109,oh thats too bad_comma_ i hope your arguments dont happen often!
example_110,I hope they are alright. Do you live alone or with someone else?
example_111,It sounds like the perfect winter treat to me
example_112,That's great. I'm sure she appreciates it.
example_113,Nope! You did too_comma_ so what are we going to do about it? We should start a band and become famous!
example_114,I do_comma_ she has always been there for me when I needed her and I am grateful for it.  How old are you?
example_115,Oh wow_comma_ I hope she feels what you're going through as well and maybe she will feel your way too. Good luck man!
example_116,yea its actually pretty good money_comma_ but it's not very comfortable either
example_117,I've never heard of that before. That sounds like a very interesting field though.
example_118,A Nightmare on Elm Street is my favorite.  It's old but still a great one!
example_119,Yeah me too! We need a lot of work to do to take back our country from this guy and all his supporters. It's scary that he won.
example_120,oh that sounds fascinating
example_121,It sounds like you have a great guy!
example_122,"That sounds like so much fun! What is ""nutria""?"
example_123,You are doing great so far!
example_124,"Sorry about that. You mentioned ""University"". I have no idea what it has to do with anything but I'll play along!"
example_125,Absolutely_comma_ it would be much better if everyone was kind and caring towards one another.
example_126,You're strong_comma_ that's great to hear.
example_127,You can always start saving more money and buying your own vehicle.
example_128,Not yet but i hope not long!
example_129,I am_comma_ I really appreciate it. It makes life better.
example_130,Well you are probably better off now since the guilt will only get worse as time goes by
example_131,What happened after? Were you able to make it up with your friends?
example_132,Oh that sounds amazing!
example_133,Oh wow! I'm glad you're happy about that.
example_134,You could try doing hobbies you never had time for before like painting or knitting!
example_135,You can't lose this time
example_136,Oh_comma_ I get it.  So you have to take away his access to snacks until he can learn control himself?  That's not very easy
example_137,ah i see.. that sounds like a nice reason to visit!
example_138,Well at least it wasn't too gross. I hope you got that suit cleaned.
example_139,Yes_comma_ I have been passed over before. It is sad but you can't do anything about it.
example_140,i hope you are doing alright
example_141,Haha_comma_ nice. You'd be a great fit for the position.
example_142,haha what is a guitar? Sounds like fun
example_143,"That does sound like he has some growing up to do. Hopefully, he doesn't have any more little adventures like this."
example_144,"Oh yeah. She is a socialite and model, so that would be an interesting relationship. I hope she is treating him well!"
example_145,It was from 2000!
example_146,I usually get a Caramel Macchiato. It's nice and yummy!
example_147,He sounds smart so I am sure he will do well.
example_148,I understand how it is_comma_ I hate when that happens_comma_ but don't worry
example_149,They should be more attentive. It is so frustrating when you are hungry and they don't do it right.
example_150,Oh wow! I bet that was a pretty good deal for you then lol.
example_151,Ugh_comma_ that's the worst.  Did you call a ride home or did your family go without you?
example_152,It sounds like a lot of work!
example_153,That is awesome! What are you going to name him?
example_154,maybe next year will be better. just keep the faith_comma_ and try to teach him a lesson without scolding him too harshly
example_155,Yeah I guess you could say the Lord helped with some things
example_156,Wow! Good for him that he turned his life around and found such a talented hobby in guitar playing. It's never too late to find your passion. What kind of music does he play?
example_157,well hopefully they can get that fixed soon!
example_158,I wish I could have that problem.  One kid and it was a struggle but with 12 kids it sounds like it would be easy compared to what I went through!
example_159,Oh no!  That does sound pretty scary!
example_160,Well_comma_thats not good. You should try to contact him somehow!
example_161,I wish him good luck
example_162,Congratulations! I bet you can't wait to meet him!
example_163,you shouldnt have stolen anything from him either. maybe he chased you to get them back
example_164,That's the truth. He gave us life and everything in it
example_165,That's good_comma_ people can take things light hearted and not make you feel bad for what happened
example_166,Those were the days lol.
example_167,Well I hope you weren't too traumatized from that experience. It's always terrible to lose our furry friends and pets!
example_168,I agree with that.  It's good for your soul and helps you grow as a person.
example_169,I am sure he will help if you do what is right.  Just being honest with yourself and the other person may help as well.
example_170,Well_comma_ good for you! That is one way to deal with bullies.
example_171,That's a good response!
example_172,Wow_comma_ thats great he was able to get out of there and do something else when he got older
example_173,That's terrible. It's crazy how people can betray trust like that.
example_174,Sorry to hear that. You are innocent_comma_ you should have told them the truth in court. Or at least after it was over_comma_ but now its too late.  Do you have anyone you can confide in?
example_175,You can laugh about it now though!
example_176,It is now
example_177,He's not bad either.  They could do something really cool with that movie!
example_178,What does the bracelet look like?
example_179,"Yeah, thats understandable_comma_ people are different than what they show on the surface."
example_180,Maybe he will come around and apologize
example_181,Yes_comma_ it is very important. I am proud of you!
example_182,That's amazing! What did you do for the first time?
example_183,Did she ok?
example_184,You're right_comma_ it's hard to find a song that really speaks to you nowadays. The best songs from the past are timeless.
example_185,I've never heard of that one but what is it about?
example_186,I hope you get it soon!
example_187,Try practicing it in a parking lot!
example_188,Oh man that is great news. You are so proud of yourself!
example_189,I bet. I would have been really annoyed.
example_190,Oh nice. That's always good to have a strong protector around. Good luck with the interview!
example_191,That is so scary! You must be traumatized forever!
example_192,Congratulations
example_193,That's terrible! Did you get your insurance to cover the costs?
example_194,Yeah_comma_ I feel for you! He was probably an old man at the time and not feeling well. What happened?
example_195,You must have some fond memories!
example_196,That sounds crazy! Why would they charge that much for such a small thing?
example_197,That sounds awful! Did it scare you too much?
example_198,That's really cool! I have no idea how much work goes into that process. Did you get paid well?
example_199,What kind of relationship is this guy?
example_200,That is a long way from here_comma_ have you talked with your family about when you'll be able to go back?
example_201,Oh wow! That's awful. Maybe she can teach cooking classes then?
example_202,Oh my gosh_comma_ I love dogs!  How old is it now?
example_203,good for you man!
example_204,I'm glad to hear that!  It's good that you were able to forgive.
example_205,I hear ya_comma_ my kid doesn't even sleep in until 6 am! What's your little one's name?
example_206,I wouldve done the same thing
example_207,Yes_comma_ you will grow up and learn to love again
example_208,That is awesome.  I hope your day turned out well at least for the most part.
example_209,It sounds like a lot of fun. What did they do to celebrate?
example_210,did he find out
example_211,Oh that sounds pretty relaxing. How long has it been since you've had someone over your house?
example_212,Oh no_comma_ that is awful_comma_ I hope she settles well somewhere else.
example_213,That sounds like so much fun. You must be really happy about it.
example_214,I would have too!
example_215,Lol. I've been there before too.
example_216,yeah i can imagine. how big is your dog? that can be a real pain
example_217,You should be_comma_ congratulations.
example_218,How did you do that?
example_219,Maybe you should take some riding lessons?
example_220,I hope that gives you some peace of mind.
example_221,Yup I know right?  We're all guilty of it at some point.
example_222,Well maybe you can get a discount at confession time!
example_223,It sounds like you got to spend quality time with them. I'm sure they appreciated it.
example_224,Some do! They may just not appreciate it enough to acknowledge it
example_225,You're right! I mean its hard not to look up to someone and admire their accomplishments when they seem so inspiring but we need people who can back up that facade with good behavior
example_226,That's great advice! It sounds like you've learned to manage your fear. I hope the little boy who was with you is okay_comma_ and so are you!
example_227,That is great! You are a very understanding parent.
example_228,Yeah I can imagine. I have lived in Canada and that was quite an experience. But I've never been outside the US so I would love to move abroad.
example_229,i bet that was a nice gesture from them
example_230,That's cool. I bet you are a very safe family.
example_231,you should try something else then
example_232,It's just the worst. I always try to avoid places like that whenever possible.
example_233,I know what you mean_comma_ it's like your body isn't even yours anymore.
example_234,My best friend comes over to visit me every week.
example_235,I am sure they are going to do fine!!
example_236,I'm glad that everything is working out for you!
example_237,That's awesome!! You must be so happy now that you're on the right path in life
example_238,What are you thinking of spending it on?
example_239,Get rid of him if you don't like how he treats you. That is what I would do.
example_240,That's very sad. What happened?
example_241,How many plants did you plant? What kind of tomatoes are they?
example_242,I've heard the same thing in my area. It's horrible!
example_243,Oh wow. That's awesome. I met some through social media and online gaming_comma_ but my best friend is from a Facebook group
example_244,I have always been that way_comma_ except when it comes to my family
example_245,That is really cool that you are still interested in talking to someone from your past.
example_246,Yes it does. I know some people who are working on their degrees and making no money. I think they're being misled by society.
example_247,It's usually because we are too busy to take them out!
example_248,How long do you guys date?
example_249,Ohh haha..I get it now. That's very funny and scary at the same time
example_250,It's definitely has its advantages! I think you should take advantage of it! lol
example_251,Nice! How many people were there?
example_252,Oh no! I hate when that happens! It's hard not taking the blame for it. Did you end up paying her?
example_253,The Riverwalk is pretty nice. I like the food too.
example_254,That's great for you.
example_255,Oh no! I hope you're ok!
example_256,I know how you feel.  I am a mom and it is frustrating when the kids leave their toys out.
example_257,I get it...but what about guacamole? No good Qdoba without that. Chipotle's got it covered_comma_ of course.
example_258,Amazing. I think there should be a show on TV about them!
example_259,You are blessed.
example_260,Thats awesome.
example_261,Maybe next time you will get a laugh!
example_262,You could also try going on a run or bike ride and meet some new people.
example_263,Well as long as it brings you joy then that's all that matters
